seed,method,training,dataset,precision,recall,map50,map50_95,weights
1,YOLOv8s original-only,real_only,combined_val,0.9926515322680871,0.9897663312297459,0.994837720813226,0.940665720006707,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed1_original_only/exp/weights/best.pt
1,YOLOv8s original-only,real_only,hrsid_test,0.9880394300187174,0.9864391951006124,0.9946053304456214,0.9396124708709926,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed1_original_only/exp/weights/best.pt
1,YOLOv8s original-only,real_only,ssdd_test,0.994565809362962,0.9845758354755784,0.9944314190666792,0.9102663351932865,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed1_original_only/exp/weights/best.pt
1,YOLOv8s Stage B-soft curriculum,real_only -> combined_yolo,combined_val,0.9928473151105666,0.9943579954476796,0.9949088500622809,0.9671376969871588,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed1_stagebsoft_curriculum/exp/weights/best.pt
1,YOLOv8s Stage B-soft curriculum,real_only -> combined_yolo,hrsid_test,0.9939776041549748,0.9886264216972879,0.9948082686328702,0.9681491676538396,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed1_stagebsoft_curriculum/exp/weights/best.pt
1,YOLOv8s Stage B-soft curriculum,real_only -> combined_yolo,ssdd_test,0.9963134819300792,0.9897172236503856,0.9949225468724961,0.9426072182910465,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed1_stagebsoft_curriculum/exp/weights/best.pt
2,YOLOv8s original-only,real_only,combined_val,0.9948720161882868,0.9902780146682586,0.994871120013681,0.9364176424824237,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed2_original_only/exp/weights/best.pt
2,YOLOv8s original-only,real_only,hrsid_test,0.9864999567578933,0.9909400833253497,0.9946615855352713,0.9394285482822158,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed2_original_only/exp/weights/best.pt
2,YOLOv8s original-only,real_only,ssdd_test,0.9963015717884226,0.9845758354755784,0.994536537648054,0.9018557751150537,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed2_original_only/exp/weights/best.pt
2,YOLOv8s Stage B-soft curriculum,real_only -> combined_yolo,combined_val,0.9928149511207744,0.9942009210301893,0.994889430640044,0.9654646994432394,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed2_stagebsoft_curriculum/exp/weights/best.pt
2,YOLOv8s Stage B-soft curriculum,real_only -> combined_yolo,hrsid_test,0.9938370152259725,0.9875882235230796,0.9947514463117851,0.9655952627629102,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed2_stagebsoft_curriculum/exp/weights/best.pt
2,YOLOv8s Stage B-soft curriculum,real_only -> combined_yolo,ssdd_test,0.9841082563031802,0.9922879177377892,0.9946645780552904,0.9377039560258045,/Users/gaurav/newdata/runs/yolov8s_seed_stability/seed2_stagebsoft_curriculum/exp/weights/best.pt
